#;meas;ticks;xH;yH;zH;xL;yL;zL;magni;temp;vibr;
#;anal;ticks;fsm_sensorpack;xMean;yMean;zMean;vibrMean;tempMean;
>;anal;2464;2;114;581;10040;286;609
>;tris;2503;3682.033491;nan;0.587278;4621.652407;nan;0.690429;609
>;tris;5005;8500.930471;nan;1.267234;3321.147729;nan;0.423244;607
>;tris;7508;10046.892277;0.059942;1.421517;15.665368;0.001327;0.022833;607
>;tris;10010;10055.628744;0.060657;1.423534;11.956727;0.002663;0.023464;607
>;tris;12513;10063.666974;0.060636;1.413470;20.651267;0.003250;0.054592;608
>;tris;15015;10063.482768;0.060569;1.444902;25.581330;0.002454;0.065801;607
>;tris;17518;10051.857291;0.060314;1.463226;19.645948;0.001995;0.034689;607
>;tris;20020;10051.514716;0.058548;1.459294;13.230611;0.001598;0.025346;607
>;tris;22523;10085.758831;0.055912;1.462349;37.774913;0.003484;0.043664;606
>;tris;25025;10093.142097;0.056167;1.465999;35.234972;0.003671;0.047107;606
>;tris;27528;10071.518697;0.059992;1.504475;20.241996;0.002007;0.039635;606
>;tris;30030;10056.853138;0.060770;1.531485;20.194092;0.001249;0.020531;606
>;anal;32488;0;18;620;10028;288;606
>;tris;32533;10044.639806;0.060171;1.530323;7.571035;0.000568;0.008004;606
>;tris;35035;10047.548743;0.060076;1.530143;5.807952;0.000751;0.007125;606
>;tris;37538;10045.162508;0.060238;1.530804;7.631267;0.000799;0.009641;606
>;tris;40040;10050.255092;0.060574;1.525210;11.697674;0.000721;0.018032;606
>;tris;42543;10054.843791;0.060243;1.524765;7.478628;0.000843;0.017132;605
>;tris;45045;10047.411411;0.059982;1.533502;5.958137;0.000692;0.008739;605
>;tris;47548;10046.003821;0.060404;1.530624;7.184607;0.000643;0.011907;605
>;tris;50050;10044.678580;0.060067;1.524593;8.393550;0.000818;0.012249;605
>;tris;52553;10041.446466;0.059791;1.533228;7.276495;0.000757;0.012803;605
>;tris;55055;10047.363616;0.059734;1.537556;13.415089;0.000928;0.010123;604
>;anal;57513;2;-12;575;10011;284;605
>;tris;57558;10048.054872;0.059106;1.552995;15.304988;0.001348;0.025131;605
>;tris;60060;10047.290662;0.058653;1.572988;17.747627;0.001710;0.023366;604
>;tris;62563;10051.171138;0.059411;1.562823;16.452676;0.001921;0.026303;604
>;anal;65037;0;5;602;10027;286;604
>;tris;65065;10048.055335;0.060474;1.552914;14.797129;0.001258;0.017660;604
>;tris;67568;10044.930105;0.060346;1.554491;13.585863;0.001089;0.013875;604
>;anal;70022;2;12;620;10024;283;604
>;tris;70070;10050.516353;0.060276;1.548165;11.432358;0.000911;0.023099;604
>;tris;72573;10055.282713;0.061758;1.539084;10.908698;0.001616;0.024398;604
>;anal;75009;0;28;616;10042;285;603
>;tris;75075;10055.283011;0.062371;1.539931;7.867476;0.001445;0.018043;603
>;anal;77552;2;28;628;10018;287;603
>;tris;77578;10050.818682;0.061897;1.537125;10.132218;0.001501;0.033654;603
>;tris;80080;10047.722072;0.061228;1.523062;10.965434;0.001693;0.041898;603
>;tris;82583;10052.848821;0.060249;1.527057;12.973576;0.001347;0.031525;602
>;anal;85074;0;10;579;10032;285;603
>;tris;85085;10053.444389;0.059141;1.543122;11.461392;0.001230;0.016329;603
>;tris;87588;10044.766385;0.058704;1.549360;8.846753;0.000842;0.013237;603
>;tris;90090;10044.141109;0.059336;1.551345;8.696212;0.000971;0.007608;602
>;tris;92593;10047.788235;0.059407;1.552154;7.245277;0.000796;0.006809;602
>;tris;95095;10046.215965;0.059325;1.551845;7.596924;0.000680;0.007901;602
>;tris;97598;10043.667319;0.059487;1.548399;9.242049;0.000627;0.008519;602
>;tris;100100;10042.796425;0.059535;1.548190;8.054837;0.000843;0.007127;601
>;tris;102603;10044.578158;0.059464;1.544730;9.107023;0.000963;0.016290;601
>;tris;105105;10047.134798;0.059285;1.545664;8.811136;0.000879;0.016728;601
>;tris;107608;10043.448611;0.059387;1.550953;8.309903;0.000819;0.007719;601
>;tris;110110;10041.467246;0.059355;1.555525;7.074183;0.000919;0.013360;601
>;tris;112613;10044.363663;0.059341;1.558025;5.661185;0.000877;0.012483;601
>;tris;115115;10043.668494;0.059453;1.555510;6.163321;0.000778;0.009828;600
>;tris;117618;10044.479182;0.059302;1.559394;7.845013;0.000734;0.009498;600
>;tris;120120;10043.744450;0.059248;1.559057;8.661821;0.000494;0.008658;600
>;tris;122623;10040.549941;0.059368;1.554631;8.022020;0.000467;0.007316;600
>;tris;125125;10044.733968;0.058990;1.553130;8.948191;0.000694;0.007675;600
>;tris;127628;10051.817433;0.059073;1.557768;11.244086;0.000931;0.010083;600
>;tris;130130;10051.123528;0.059456;1.558516;10.740435;0.000817;0.008606;600
>;tris;132633;10047.006475;0.058968;1.554517;5.676527;0.000844;0.006412;599
>;tris;135135;10046.491045;0.059007;1.559217;5.172864;0.001109;0.009701;599
>;tris;137638;10043.850353;0.059420;1.570156;6.948023;0.000954;0.015571;599
>;tris;140140;10044.888146;0.059249;1.569873;9.628163;0.000651;0.016730;599
>;tris;142643;10048.508286;0.058900;1.561398;7.649570;0.000755;0.010619;599
>;tris;145145;10042.841512;0.059142;1.556511;9.435333;0.000791;0.008557;599
>;tris;147648;10041.260650;0.059618;1.556969;10.964847;0.000478;0.009572;599
>;anal;150068;2;1107;1267;9658;271;599
>;tris;150150;10047.695108;0.068093;1.572147;92.321070;0.021406;0.171870;599
>;tris;152653;10050.192074;0.169914;1.190069;445.544210;0.102140;0.447871;599
>;tris;155155;10081.469007;0.217355;0.832695;450.648166;0.061895;0.147997;598
>;tris;157658;10114.965098;0.186108;0.910281;180.357892;0.043757;0.120626;598
>;tris;160160;10055.145646;0.253150;1.402002;154.226692;0.079697;0.784640;598
>;tris;162663;10030.806176;0.210529;1.178215;206.175863;0.125598;2.123793;598
>;tris;165165;10066.595037;0.093482;1.370502;163.639859;0.070180;2.093940;597
>;tris;167668;10096.754829;0.072259;2.125377;28.050475;0.007444;0.080865;597
>;tris;170170;10087.455008;0.071116;2.097620;9.132908;0.003363;0.036566;598
>;tris;172673;10079.588736;0.070673;2.081782;8.186445;0.001186;0.020385;597
>;anal;175088;0;-336;622;10041;268;597
>;tris;175175;10071.113483;0.070911;2.072752;9.101606;0.000886;0.007762;597
>;tris;177678;10064.001647;0.070612;2.066916;6.467880;0.000723;0.010496;597
>;tris;180180;10066.740391;0.070373;2.064784;8.343370;0.000876;0.009291;597
>;tris;182683;10072.096386;0.070592;2.072750;7.610100;0.001479;0.008591;596
>;anal;185162;2;-350;632;10049;276;596
>;tris;185185;10075.679865;0.070185;2.091434;8.033492;0.001661;0.033596;596
>;tris;187688;10080.696589;0.069775;2.095203;12.899774;0.001245;0.032989;596
>;anal;190143;0;-350;613;10043;274;596
>;tris;190190;10081.392708;0.069737;2.086493;12.697304;0.001349;0.015434;596
>;tris;192693;10079.363155;0.069895;2.095468;11.177262;0.001614;0.019478;595
>;tris;195195;10077.457369;0.070005;2.099383;10.153381;0.001662;0.014495;595
>;anal;197672;2;-366;609;10051;272;595
>;tris;197698;10074.045661;0.070617;2.115562;6.741840;0.001866;0.038287;595
>;tris;200200;10073.585557;0.072197;2.122257;10.366773;0.002195;0.036550;594
>;anal;202653;0;-369;613;10043;266;594
>;tris;202703;10077.050082;0.072336;2.102106;12.947919;0.001930;0.016754;594
>;tris;205205;10078.249502;0.071461;2.095412;11.217293;0.001188;0.015803;594
>;anal;207634;2;-366;620;10051;274;594
>;tris;207708;10078.972742;0.071973;2.103536;9.701007;0.001934;0.028541;594
